t,y,y_act,y_err,y_errlim 
0.000000,0.500000,0.500000,0.000000,0.000000 
0.100000,0.650000,0.657420,0.007420,0.005811 
0.200000,0.814000,0.829311,0.015311,0.013519 
0.300000,0.991400,1.015092,0.023692,0.023609 
0.400000,1.181540,1.214119,0.032579,0.036680 
0.500000,1.383694,1.425682,0.041988,0.053468 
0.600000,1.597063,1.648997,0.051934,0.074885 
0.700000,1.820770,1.883197,0.062427,0.102050 
0.800000,2.053847,2.127322,0.073475,0.136343 
0.900000,2.295231,2.380313,0.085082,0.179457 
1.000000,2.543755,2.641000,0.097245,0.233476 
1.100000,2.798130,2.908088,0.109958,0.300957 
1.200000,3.056943,3.180148,0.123205,0.385036 
1.300000,3.318637,3.455599,0.136962,0.489565 
1.400000,3.581501,3.732694,0.151193,0.619263 
1.500000,3.843651,4.009504,0.165853,0.779915 
1.600000,4.103016,4.283895,0.180878,0.978609 
1.700000,4.357318,4.553509,0.196191,1.224028 
1.800000,4.604050,4.815741,0.211691,1.526803 
1.900000,4.840455,5.067711,0.227257,1.899950 
